Hash Base,Table Size,Label,Filename,Word Count,Time,Conflicts,Probe Count,Probe Max,Rehash Count
1,250727,B = 1 / TS = 250727,english_large.txt,2906,10,2578,2644948,2786,0
1,250727,,english_small.txt,2943,10,2583,2719659,2769,0
1,250727,,french.txt,2978,10,2552,2647838,2669,0
1,402221,B = 1 / TS = 402221,english_large.txt,2931,10,2603,2699707,2827,0
1,402221,,english_small.txt,2932,10,2572,2696380,2769,0
1,402221,,french.txt,3018,10,2590,2730350,2669,0
1,1000081,B = 1 / TS = 1000081,english_large.txt,2963,10,2635,2769883,2827,0
1,1000081,,english_small.txt,2922,10,2562,2676965,2747,0
1,1000081,,french.txt,2962,10,2536,2611520,2669,0
27183,250727,B = 27183 / TS = 250727,english_large.txt,194433,7.871032499999998,76623,420606,278,0
27183,250727,,english_small.txt,84097,2.6054948999999965,14264,22580,23,0
27183,250727,,french.txt,202358,9.580946100000006,85022,565917,299,0
27183,402221,B = 27183 / TS = 402221,english_large.txt,194433,6.535284700000005,47798,100107,43,0
27183,402221,,english_small.txt,84097,3.1338480999999945,9000,11736,13,0
27183,402221,,french.txt,202358,8.800507699999997,53376,124793,57,0
27183,1000081,B = 27183 / TS = 1000081,english_large.txt,194433,6.302558699999992,19039,24442,20,0
27183,1000081,,english_small.txt,84097,2.5518279000000064,3501,3936,15,0
27183,1000081,,french.txt,202358,6.627728099999985,22045,30701,21,0
250726,250727,B = 250726 / TS = 250727,english_large.txt,2445,10,2351,2707357,2372,0
250726,250727,,english_small.txt,2414,10,2326,2659616,2360,0
250726,250727,,french.txt,2852,10,2536,2651027,2639,0
250726,402221,B = 250726 / TS = 402221,english_large.txt,194433,7.059720200000015,47901,101110,51,0
250726,402221,,english_small.txt,84097,2.648696199999989,9010,11798,10,0
250726,402221,,french.txt,202358,7.392425400000008,53160,122422,49,0
250726,1000081,B = 250726 / TS = 1000081,english_large.txt,194433,6.019678800000008,19047,24487,13,0
250726,1000081,,english_small.txt,84097,2.5642887999999857,3606,4047,8,0
250726,1000081,,french.txt,202358,6.661879900000002,21709,29956,22,0
